index,gold_clean,predicted_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
111,16,12.8,False,1500,0,721,112,833
112,24,24,True,558,0,280,104,384
113,25,25,True,331,0,226,72,298
114,6,6,True,954,0,459,123,582
115,90,220,False,692,0,429,135,564
116,42,42,True,595,0,362,94,456
117,360,360,True,417,0,251,72,323
118,4,4,True,718,0,348,115,463
119,95200,56,False,1020,0,694,125,819
120,240,240,True,653,0,318,83,401
121,27,27,True,659,0,311,95,406
122,48,20,False,880,0,445,103,548
123,50,50,True,1026,0,595,79,674
124,10,10,True,1037,0,483,112,595
125,10,10,True,933,0,424,159,583
126,82,82,True,379,0,255,97,352
127,120,120,True,651,0,311,77,388
128,880,880,True,873,0,445,127,572
129,10000,800,False,1271,0,716,105,821
130,30,30,True,772,0,312,96,408
131,940,940,True,397,0,237,76,313
132,60,60,True,1283,0,650,100,750
133,13,13,True,958,0,445,88,533
134,720,720,True,577,0,281,70,351
135,40,40,True,813,0,374,88,462
136,6,6,True,398,0,273,86,359
137,29,29.00,True,669,0,416,117,533
138,105,30,False,1274,0,585,115,700
139,70,70,True,642,0,344,88,432
140,20,20,True,948,0,459,81,540
141,400,400,True,1087,0,724,82,806
142,140,140,True,609,0,287,88,375
143,16,16.50,False,1155,0,497,99,596
144,20,20,True,1007,0,602,175,777
145,4000,250,False,1031,0,524,90,614
146,2,2125,False,751,0,412,124,536
147,75,15,False,992,0,6786,167,6953
148,30,30.,True,596,0,897,109,1006
149,16,16,True,663,0,331,83,414
150,4,4,True,878,0,529,135,664
151,5,5,True,941,0,521,133,654
152,4,4,True,1118,0,462,83,545
153,48,48,True,871,0,619,145,764
154,272,34,False,723,0,379,113,492
155,280,280,True,1142,0,609,116,725
156,1400,1400,True,554,0,354,116,470
157,80,4000,False,1417,0,645,145,790
158,34,34,True,849,0,381,93,474
159,15,15,True,808,0,411,101,512
160,16,16,True,616,0,317,97,414
161,32,36,False,1079,0,644,114,758
162,92,78.44,False,1155,0,558,84,642
163,50,64,False,2554,0,1010,98,1108
164,15,45.,False,2196,0,2156,110,2266
165,77,77,True,516,0,878,159,1037
166,5,5,True,539,0,313,103,416
167,16,16,True,902,0,596,72,668
168,18,18,True,649,0,302,69,371
169,120,120,True,804,0,419,73,492
170,150,150,True,636,0,425,97,522
171,1210,1210,True,1007,0,568,98,666
172,51,41,False,597,0,434,104,538
173,18000,450,False,679,0,496,120,616
174,95,95,True,1009,0,493,141,634
175,15,15,True,3194,0,1240,107,1347
176,100,20,False,3083,0,964,87,1051
177,350,350,True,1110,0,764,135,899
178,122,36,False,633,0,436,84,520
179,130,130,True,462,0,298,85,383
180,20,20,True,691,0,380,91,471
181,160,160,True,787,0,401,137,538
182,23,14,False,1094,0,501,78,579
183,2,2,True,660,0,1416,176,1592
184,25,25,True,788,0,320,83,403
185,30,30,True,564,0,248,82,330
186,5,37,False,1258,0,521,158,679
187,106,103,False,430,0,283,82,365
188,50,50,True,855,0,603,111,714
189,34,61,False,872,0,432,110,542
190,360,360,True,450,0,265,71,336
191,5,5,True,601,0,284,79,363
192,91,3,False,2308,0,1140,97,1237
193,24,24,True,1417,0,678,163,841
194,10,0,False,590,0,391,83,474
195,12,12.00,True,746,0,350,82,432
196,120,120,True,735,0,285,83,368
197,6277,6277,True,210,0,724,94,818
198,320,320,True,1030,0,551,118,669
199,7500,150,False,1003,0,547,120,667
200,55,55,True,810,0,398,93,491
201,114,114,True,640,0,403,112,515
202,100,100,True,507,0,330,91,421
203,31,40,False,966,0,625,138,763
204,98,100,False,897,0,452,102,554
205,98,98,True,1507,0,6569,129,6698
206,860,860,True,801,0,588,120,708
207,2600,2600,True,1192,0,593,98,691
208,76,4,False,837,0,394,103,497
209,145,36,False,566,0,320,79,399
210,10,10,True,790,0,640,143,783
211,4,4,True,929,0,571,98,669
212,5,5,True,508,0,346,88,434
213,250,350,False,701,0,407,103,510
214,8,2,False,2378,0,977,104,1081
215,44,44,True,485,0,302,102,404
216,220,2,False,785,0,467,96,563
217,15,15,True,377,0,234,75,309
218,45,45,True,728,0,499,86,585
219,54,54,True,978,0,527,100,627
220,70,70,True,736,0,393,91,484
221,90,90,True,795,0,533,103,636
222,140,140,True,439,0,288,71,359
223,20000,20000,True,758,0,389,87,476
224,180,180,True,800,0,382,107,489
225,9,9,True,483,0,261,99,360
226,33,33,True,877,0,506,110,616
227,9,9.00,True,729,0,496,157,653
228,1,1,True,853,0,456,97,553
229,21,21,True,834,0,528,129,657
230,276,276,True,726,0,562,103,665
231,50,50,True,650,0,300,99,399
232,75,75,True,606,0,286,82,368
233,12,12,True,783,0,431,94,525
234,21,28,False,798,0,392,94,486
235,10,10,True,724,0,317,98,415
236,31,30,False,853,0,6697,101,6798
237,90,90,True,118,0,675,87,762
238,68,68,True,704,0,411,81,492
239,280,280,True,998,0,533,130,663
240,21,21,True,899,0,433,78,511
241,6,6,True,938,0,431,80,511
242,3,3,True,653,0,466,109,575
243,250,250,True,796,0,481,105,586
244,20,10,False,117,0,4897,118,5015
245,7,7,True,1455,0,754,107,861
246,27000,47250,False,729,0,542,130,672
247,32,32.,True,82,0,626,117,743
248,300,300,True,486,0,250,77,327
249,5,4000,False,1038,0,641,108,749
250,17,17,True,850,0,563,104,667
251,70,70,True,255,0,223,79,302
252,73,67,False,981,0,474,85,559
253,18,18,True,379,0,210,80,290
254,84,21,False,380,0,237,107,344
255,192,176,False,667,0,376,92,468
256,45,45,True,805,0,617,97,714
257,5600,5600,True,800,0,428,93,521
258,6,6.00,True,398,0,291,98,389
259,168,200,False,1399,0,736,81,817
260,11,11,True,794,0,454,85,539
261,62,62.00,True,398,0,271,77,348
262,270,270,True,386,0,256,80,336
263,8,8,True,552,0,329,95,424
264,400,399,False,543,0,369,79,448
265,9500,290,False,1054,0,661,141,802
266,118000,118000,True,323,0,710,124,834
267,91,51,False,1036,0,525,124,649
268,1375,1375,True,98,0,1278,92,1370
269,4,4,True,15,0,671,80,751
270,762,762,True,520,0,328,118,446
271,20,20,True,814,0,408,89,497
272,5,5.00,True,500,0,362,91,453
273,315,315.,True,420,0,977,122,1099
274,3200,3200,True,557,0,338,119,457
275,138,138,True,936,0,555,134,689
276,9,9,True,840,0,442,110,552
277,4,4,True,714,0,453,91,544
278,40,40,True,614,0,343,81,424
279,6,,False,463,0,1142,73,1215
280,7,7,True,564,0,317,83,400
281,2450,2450,True,875,0,535,95,630
282,195,180,False,539,0,340,98,438
283,68,77,False,5874,0,2162,134,2296
284,360,360,True,615,0,368,143,511
285,21,21,True,496,0,255,68,323
286,90,90,True,655,0,422,74,496
287,8,8,True,814,0,464,85,549
288,3,3,True,938,0,464,98,562
289,16,16,True,761,0,416,105,521
290,390,25,False,1460,0,804,106,910
291,2,2,True,974,0,463,93,556
292,75,105,False,905,0,510,94,604
293,83,83,True,954,0,534,123,657
294,3,3,True,1017,0,465,98,563
295,370,360,False,722,0,505,130,635
296,3,3,True,1012,0,514,88,602
297,55,55,True,695,0,368,120,488
298,500,1500,False,724,0,380,120,500
299,31800,9300,False,1129,0,589,128,717
300,78,78,True,607,0,308,98,406
301,8,8,True,573,0,299,130,429
302,15,15,True,508,0,268,81,349
303,1300,225,False,2204,0,982,124,1106
304,3200,2800,False,476,0,505,101,606
305,4,16,False,433,0,201,67,268
306,10,10,True,712,0,351,93,444
307,16,4,False,1018,0,442,99,541
308,6,3,False,567,0,371,96,467
309,8,8,True,618,0,318,105,423
310,2050,1000,False,3491,0,1701,141,1842
311,91,91,True,920,0,442,83,525
312,32,32,True,443,0,265,74,339
313,120000,120000,True,1061,0,3607,105,3712
314,30,30,True,781,0,459,96,555
315,14,14,True,716,0,349,99,448
316,156,156,True,556,0,372,111,483
317,12,12,True,710,0,374,80,454
318,123,123,True,1397,0,584,93,677
319,15,15,True,722,0,323,108,431
320,8,8,True,673,0,373,92,465
321,1,4,False,726,0,322,74,396
322,9,9,True,1228,0,598,90,688
323,75,75,True,607,0,452,124,576
324,14,14,True,878,0,390,102,492
325,224000,224,False,1184,0,539,121,660
326,14,14,True,877,0,545,111,656
327,31,22,False,1092,0,619,121,740
328,2,2,True,673,0,401,86,487
329,14,14,True,557,0,326,90,416
330,31,37,False,547,0,330,120,450
331,8400,,False,607,0,1301,148,1449
332,44,264,False,1497,0,576,85,661
333,100,100,True,645,0,596,123,719
334,6,6,True,871,0,412,98,510
335,310,310,True,624,0,334,95,429
336,72,72,True,792,0,437,92,529
337,1,2,False,746,0,360,78,438
338,60,60,True,678,0,519,100,619
339,160,160,True,556,0,500,80,580
340,4,0,False,903,0,482,165,647
341,260,240,False,772,0,507,114,621
342,87,87,True,407,0,262,104,366
343,180000,180000,True,817,0,490,104,594
344,2,2,True,403,0,251,92,343
345,310,310,True,610,0,370,75,445
346,9,9,True,475,0,370,110,480
347,36,36,True,489,0,287,83,370
348,10,45,False,672,0,481,111,592
349,2640,2,False,1421,0,667,108,775
350,8,8,True,783,0,399,120,519
351,10,10,True,697,0,382,110,492
352,21,,False,0,0,0,0,0
353,20,8,False,981,0,570,118,688
354,45,145,False,750,0,459,127,586
355,34,34,True,754,0,377,103,480
356,21,12,False,1053,0,577,109,686
357,2,60,False,1174,0,525,125,650
358,20,20,True,1217,0,699,101,800
359,4,40,False,1060,0,600,109,709
360,25,25,True,621,0,362,77,439
361,20,15,False,2248,0,1014,137,1151
362,23,31,False,853,0,562,123,685
363,6,6,True,941,0,508,119,627
364,49,,False,709,0,417,95,512
365,18,18,True,408,0,207,71,278
366,9,9,True,473,0,295,107,402
367,19,,False,1920,0,899,118,1017
368,18,10,False,997,0,375,72,447
369,1198,792,False,904,0,482,136,618
370,320,320,True,420,0,243,87,330
371,50,42,False,692,0,358,127,485
372,5,5,True,337,0,282,93,375
373,240000,240,False,712,0,426,101,527
374,45,15,False,829,0,438,82,520
375,48,48,True,954,0,383,93,476
376,15,15,True,553,0,354,81,435
377,50,50,True,639,0,385,117,502
378,15,30,False,982,0,578,91,669
379,21,21,True,770,0,329,78,407
380,803,760.67,False,1018,0,527,83,610
381,67,67,True,851,0,495,79,574
382,350,350,True,860,0,502,91,593
383,2,3.33,False,1143,0,662,137,799
384,32,32,True,820,0,415,73,488
385,16,16,True,562,0,330,134,464
386,80,80,True,462,0,348,121,469
387,36,36,True,443,0,315,68,383
388,88,88,True,345,0,230,90,320
389,6,24,False,745,0,455,119,574
390,12,12,True,506,0,339,112,451
391,15,15,True,789,0,593,86,679
392,34,4,False,878,0,407,105,512
393,20,20,True,1007,0,580,78,658
394,92,92,True,443,0,285,85,370
395,38,38,True,621,0,1972,115,2087
396,3,3,True,758,0,373,84,457
397,25,25,True,885,0,495,88,583
398,168,168,True,726,0,426,101,527
399,12,12,True,567,0,339,81,420
400,48,48,True,489,0,239,78,317
401,14400,14,False,814,0,418,81,499
402,4,4,True,584,0,385,106,491
403,81,81,True,926,0,449,110,559
404,22,24.5,False,676,0,338,84,422
405,50,50,True,828,0,508,136,644
406,200,140,False,650,0,409,115,524
407,2000,4000,False,945,0,546,136,682
408,20,10,False,301,0,4400,125,4525
409,168000,372,False,1076,0,631,115,746
410,3,3.00,True,733,0,542,149,691
411,1110,1,False,524,0,362,111,473
412,5,5,True,752,0,325,113,438
413,25,2475,False,1093,0,522,104,626
414,56,56,True,577,0,323,84,407
415,350,113,False,1487,0,835,156,991
416,56,56,True,835,0,581,95,676
417,3140,1940,False,917,0,586,136,722
418,40,5,False,1259,0,530,90,620
419,3000,3,False,707,0,429,155,584
420,17000,17,False,1527,0,637,99,736
421,12,12,True,877,0,445,91,536
422,284,572,False,956,0,607,118,725
423,8,4.50,False,1019,0,545,155,700
424,570,570,True,1039,0,395,104,499
425,150,1,False,1438,0,595,142,737
426,11,11,True,513,0,415,110,525
427,150,25,False,1480,0,769,115,884
428,26,18,False,1392,0,641,114,755
429,13,6,False,619,0,260,85,345
430,132,132.00,True,654,0,504,117,621
431,1,1,True,518,0,343,112,455
432,30,30,True,751,0,415,133,548
433,6,6,True,632,0,474,84,558
434,5,5,True,1490,0,637,90,727
435,5,5,True,590,0,312,83,395
436,15,15,True,628,0,375,78,453
437,7,4,False,783,0,431,82,513
438,2,2,True,463,0,660,125,785
439,17,11,False,846,0,427,151,578
440,98,98,True,780,0,449,79,528
441,80,80,True,1244,0,592,110,702
442,49,934,False,1205,0,561,119,680
443,59,38.64,False,1348,0,825,125,950
444,20,20,True,739,0,365,83,448
445,6,6,True,1290,0,644,113,757
446,2,2,True,768,0,416,108,524
447,5,5,True,621,0,375,91,466
448,539,539,True,786,0,472,110,582
449,112,112,True,569,0,317,91,408
450,4,3,False,394,0,2173,124,2297
451,11050,10500,False,662,0,343,104,447
452,50,50,True,949,0,553,84,637
453,6400,6,False,1065,0,559,98,657
454,150,240,False,516,0,249,68,317
455,1920,1920,True,906,0,553,115,668
456,78,78,True,597,0,350,92,442
457,45,45,True,552,0,370,119,489
458,35,35,True,801,0,390,82,472
459,2,2,True,17,0,620,183,803
460,84,84,True,889,0,471,101,572
461,9,9,True,458,0,283,81,364
462,71,71,True,151,0,366,67,433
463,18,18,True,580,0,264,85,349
464,6,7,False,1037,0,367,107,474
465,30,30,True,895,0,548,115,663
466,1,1.00,True,822,0,480,93,573
467,1200,1,False,688,0,396,93,489
468,120,120,True,870,0,418,100,518
469,4,4,True,597,0,321,99,420
470,3,3,True,679,0,334,86,420
471,80,80,True,931,0,516,107,623
472,6,6,True,768,0,358,106,464
473,10,10,True,553,0,392,80,472
474,80,80,True,424,0,624,81,705
475,20,20,True,722,0,360,100,460
476,5,5,True,326,0,178,89,267
477,20,20,True,1112,0,517,88,605
478,621,621,True,740,0,416,95,511
479,15400,15,False,589,0,474,112,586
480,11,11,True,689,0,326,91,417
481,84,84,True,839,0,445,114,559
482,26,26,True,416,0,280,111,391
483,40,40,True,880,0,476,102,578
484,240,240,True,477,0,305,103,408
485,220,220,True,394,0,267,78,345
486,6,6,True,471,0,286,76,362
487,4,4,True,1032,0,540,97,637
488,6,6,True,532,0,324,86,410
489,10,10,True,842,0,364,100,464
490,4,4,True,457,0,275,93,368
491,16,16,True,389,0,292,85,377
492,32,32,True,447,0,221,76,297
493,25,200,False,775,0,467,113,580
494,21,53,False,1238,0,4671,127,4798
495,200,200,True,463,0,246,92,338
496,38,38,True,455,0,240,75,315
497,112,224,False,714,0,378,102,480
498,40,40,True,739,0,400,95,495
499,10,7,False,865,0,489,150,639
500,16,16,True,976,0,694,80,774
501,273,273,True,1071,0,531,104,635
502,26,26,True,669,0,381,110,491
503,18,18,True,523,0,309,85,394
504,2,5,False,1041,0,473,135,608
505,1,1600,False,1033,0,640,147,787
506,144,12,False,628,0,357,96,453
507,2,2.00,True,544,0,374,81,455
508,120,120,True,1194,0,538,96,634
509,4,4,True,1035,0,410,97,507
510,525,,False,1158,0,365,121,486
511,110,110,True,464,0,330,80,410
512,120,120,True,663,0,387,95,482
513,300,300,True,661,0,440,81,521
514,90000,90,False,541,0,427,76,503
515,160,32,False,632,0,325,83,408
516,375,375,True,374,0,1011,73,1084
517,18,18,True,488,0,234,91,325
518,32,32,True,956,0,434,107,541
519,280,280,True,549,0,288,74,362
520,63,63,True,689,0,444,144,588
521,39,39,True,1457,0,624,117,741
522,29,29,True,937,0,633,138,771
523,74,74,True,918,0,554,105,659
524,9,9,True,915,0,433,95,528
525,12,36,False,494,0,281,130,411
526,21,0,False,1018,0,588,111,699
527,48,48,True,2115,0,859,71,930
528,172,40,False,948,0,495,100,595
529,11,11,True,766,0,334,86,420
530,36,43,False,572,0,344,115,459
531,66,69,False,1303,0,629,114,743
532,25,25,True,987,0,518,84,602
533,300,300,True,752,0,508,98,606
534,300,2440,False,794,0,442,141,583
535,16,16,True,556,0,276,73,349
536,8,8,True,408,0,251,77,328
537,188,188,True,693,0,415,107,522
538,18,1872.,False,473,0,629,111,740
539,35,30,False,610,0,347,78,425
540,39,9,False,949,0,411,113,524
541,50,50,True,1462,0,777,103,880
542,7,7.00,True,606,0,403,98,501
543,6,6,True,744,0,389,85,474
544,80,80,True,678,0,424,75,499
545,30,30,True,547,0,288,80,368
546,130,169,False,699,0,372,94,466
547,81,81,True,549,0,303,93,396
548,100,100,True,411,0,249,78,327
549,398,398,True,703,0,386,91,477
550,27,27.00,True,762,0,656,143,799
551,17,33.00,False,613,0,423,102,525
552,450,450,True,849,0,504,111,615
553,92,92,True,582,0,311,115,426
554,54,42.7,False,1979,0,1010,96,1106
555,2,2,True,491,0,299,89,388
556,160,160,True,20,0,359,79,438
557,70,70,True,777,0,361,78,439
558,3,3.,True,232,0,884,90,974
559,16,6,False,1105,0,409,111,520
560,45,45,True,695,0,429,86,515
561,180,180,True,332,0,953,85,1038
562,82,82,True,1129,0,516,123,639
563,12,15,False,1159,0,567,91,658
564,240,170,False,1782,0,740,101,841
565,5,5,True,834,0,410,75,485
566,10,17,False,768,0,465,78,543
567,9,9,True,861,0,502,135,637
568,175,180,False,1276,0,577,92,669
569,21,168,False,758,0,477,109,586
570,23,30,False,1629,0,712,113,825
571,308,308,True,529,0,292,93,385
572,100,100,True,816,0,528,113,641
573,600,600,True,432,0,307,82,389
574,37,,False,0,0,0,0,0
575,36,36,True,604,0,351,148,499
576,11232,8208,False,1184,0,1837,131,1968
577,40,47,False,670,0,454,133,587
578,48,48,True,348,0,238,93,331
579,7,7,True,556,0,264,68,332
580,500,500,True,621,0,360,99,459
581,215,215,True,550,0,362,91,453
582,129200,129,False,841,0,481,96,577
583,120,120,True,967,0,509,104,613
584,2,180.00,False,557,0,373,99,472
585,40,40,True,863,0,506,112,618
586,800,800,True,1002,0,499,111,610
587,30,30,True,1747,0,1171,133,1304
588,52,52,True,518,0,314,111,425
589,15,2.5,False,851,0,470,107,577
590,319,428,False,809,0,459,125,584
591,220,220,True,574,0,362,162,524
592,1,1,True,564,0,368,110,478
593,3,5,False,881,0,384,97,481
594,42,42,True,868,0,423,84,507
595,13,13,True,844,0,432,65,497
596,260,260,True,269,0,385,135,520
597,90,90,True,834,0,548,90,638
598,69,69,True,763,0,488,88,576
599,48,48,True,688,0,404,74,478
600,10,10,True,520,0,299,104,403
601,104,99,False,760,0,392,145,537
602,5,5,True,731,0,386,79,465
603,1800,1260,False,621,0,396,104,500
604,12,13,False,721,0,333,106,439
605,42,42.00,True,958,0,538,119,657
606,6,0.00115,False,1432,0,633,98,731
607,10,0.33,False,1735,0,819,100,919
608,8,6.00,False,892,0,537,115,652
609,7,7,True,558,0,309,105,414
610,65,65960,False,890,0,413,89,502
611,1,2178125,False,1063,0,639,115,754
612,30,30,True,867,0,426,122,548
613,93000,93000,True,650,0,387,81,468
614,312,312,True,551,0,313,86,399
615,33,33.00,True,966,0,595,128,723
616,10,10,True,385,0,269,93,362
617,5,5,True,445,0,290,101,391
618,36,36,True,1022,0,571,106,677
619,76,4,False,988,0,359,96,455
620,1509,644,False,762,0,449,100,549
621,3000,3000,True,709,0,392,98,490
622,7,6,False,1237,0,623,139,762
623,8,8,True,572,0,298,69,367
624,85,85,True,698,0,348,91,439
625,160,160,True,599,0,332,92,424
626,72,72.,True,562,0,1003,95,1098
627,54,54,True,593,0,406,87,493
628,4,4,True,751,0,375,96,471
629,17500,192500,False,1245,0,679,104,783
630,10,60,False,735,0,436,113,549
631,4800,4800,True,964,0,417,112,529
632,45,45,True,610,0,349,113,462
633,5,5,True,896,0,511,82,593
634,14,14,True,538,0,301,75,376
635,4,0,False,931,0,472,106,578
636,1050,3500,False,1345,0,626,87,713
637,17,17.,True,330,0,437,84,521
638,12,12.00,True,631,0,409,80,489
639,216,216,True,1132,0,487,89,576
640,43,43,True,775,0,421,177,598
641,262500,378,False,781,0,538,90,628
642,10,10,True,984,0,635,111,746
643,840,840,True,801,0,408,99,507
644,29,29,True,683,0,307,93,400
645,48,48,True,308,0,189,79,268
646,79,79,True,839,0,471,88,559
647,10,10,True,901,0,490,100,590
648,54,54,True,625,0,320,113,433
649,162000,90,False,825,0,402,109,511
650,142,142,True,841,0,472,140,612
651,2100,1400,False,965,0,393,115,508
652,75,105,False,991,0,496,92,588
653,80,80,True,848,0,399,114,513
654,2,1,False,1154,0,471,98,569
655,10,10,True,526,0,237,79,316
656,10,10,True,746,0,499,95,594
657,330000,330,False,1013,0,577,112,689
658,120,120,True,897,0,523,115,638
659,3,10,False,1510,0,735,104,839
660,15,15,True,890,0,635,88,723
661,44,44,True,656,0,356,133,489
662,7,7.00,True,486,0,335,104,439
663,193,63,False,660,0,281,88,369
664,32,32,True,768,0,340,95,435
665,360,360,True,730,0,330,102,432
666,120,120,True,666,0,452,101,553
667,53,53,True,446,0,259,85,344
668,3,3,True,593,0,298,87,385
669,132,132,True,961,0,497,96,593
670,4,4,True,575,0,281,92,373
671,4,4.00,True,599,0,303,109,412
672,2,14,False,1020,0,472,122,594
673,9,9,True,742,0,393,73,466
674,12,13,False,811,0,537,85,622
675,33,23,False,1202,0,560,145,705
676,240,240,True,687,0,464,101,565
677,36,36,True,443,0,264,158,422
678,120,120,True,563,0,289,76,365
679,576,576,True,587,0,284,69,353
680,20,20,True,910,0,497,95,592
681,298,298,True,903,0,547,96,643
682,80,80,True,683,0,471,117,588
683,50,50,True,997,0,524,108,632
684,11,11,True,1284,0,635,101,736
685,14,14,True,731,0,320,98,418
686,80,80,True,884,0,453,99,552
687,13,13,True,739,0,560,83,643
688,100,100,True,602,0,389,110,499
689,7,12.00,False,1036,0,720,90,810
690,5760,5760,True,898,0,477,95,572
691,25,25,True,1721,0,757,101,858
692,32,32,True,959,0,652,135,787
693,68,68.,True,232,0,959,112,1071
694,9,9,True,849,0,465,95,560
695,5,25,False,444,0,265,85,350
696,145,145,True,1130,0,696,152,848
697,27,27,True,812,0,338,123,461
698,720,720,True,988,0,441,107,548
699,8,8,True,511,0,249,75,324
700,135,315,False,1040,0,433,124,557
701,200,200,True,1138,0,598,131,729
702,2800,2800,True,474,0,763,142,905
703,50,50,True,871,0,448,102,550
704,50,50,True,540,0,354,77,431
705,120,120,True,423,0,268,80,348
706,9,9,True,760,0,457,109,566
707,8,8,True,790,0,366,90,456
708,168,168,True,408,0,241,69,310
709,3000,3000,True,1096,0,594,96,690
710,45,45.00,True,640,0,579,132,711
711,6,4,False,928,0,437,99,536
712,14,14.,True,522,0,967,85,1052
713,576,576,True,551,0,286,85,371
714,10,10,True,1144,0,476,100,576
715,385000,385000,True,684,0,446,106,552
716,770,770,True,961,0,501,105,606
717,5,5.00,True,681,0,415,86,501
718,2,2,True,996,0,504,106,610
719,175,175,True,455,0,234,91,325
720,4,4,True,451,0,289,86,375
721,2450,2450,True,752,0,456,162,618
722,255,105,False,503,0,372,139,511
723,160,160,True,609,0,367,93,460
724,18,43,False,764,0,537,99,636
725,25,33,False,1776,0,706,93,799
726,10,10,True,371,0,1864,115,1979
727,112,112,True,842,0,476,122,598
728,40,38.46,False,707,0,427,95,522
729,1000,1000,True,967,0,698,118,816
730,8,8,True,549,0,308,87,395
731,1,1,True,927,0,482,104,586
732,87,87,True,737,0,410,99,509
733,5,5,True,499,0,241,84,325
734,17,13,False,484,0,250,109,359
735,50,50,True,798,0,402,101,503
736,3,3,True,786,0,358,81,439
737,2,2,True,833,0,539,120,659
738,4,4,True,848,0,436,79,515
739,98,98,True,746,0,363,100,463
740,25,25,True,725,0,386,104,490
741,28,28,True,611,0,324,93,417
742,24,24,True,751,0,388,89,477
743,8,8,True,539,0,365,110,475
744,4,4,True,400,0,288,118,406
745,1100,1100,True,681,0,435,121,556
746,28,76,False,973,0,597,135,732
747,350,0.70,False,616,0,310,100,410
